"Reporting starts","Reporting ends","Campaign name","Campaign delivery","Attribution setting",Results,"Result indicator",Reach,Frequency,"Cost per results","Ad set budget","Ad set budget type","Amount spent (USD)",Ends,Impressions,"CPM (cost per 1,000 impressions) (USD)","Link clicks",shop_clicks,"CPC (cost per link click) (USD)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all) (USD)","Landing page views","Cost per landing page view (USD)"
2026-04-24,2026-05-23,"All Services Launch",inactive,"7-day click or 1-day view",,,0,0,,500,Daily,0,Ongoing,0,0,,,,,0,0,0,,
2026-04-24,2026-05-23,"New Leads Campaign Bathrooms",inactive,"7-day click or 1-day view",,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,,0,0,0,,
2026-04-24,2026-05-23,"New Leads Campaign kitchens - Copy 2",active,"7-day click or 1-day view",177,actions:leadgen.other,79531,2.24823,62.50056497,"Using ad set budget",0,11062.6,Ongoing,178804,61.869981,1929,,5.734889,1.078835,2645,1.479273,4.182457,3,3687.533333
2026-04-24,2026-05-23,"New Leads Campaign paint",inactive,"7-day click or 1-day view",,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,,0,0,0,,
2026-04-24,2026-05-23,"New Leads Campaign Roofs 1",inactive,"7-day click or 1-day view",,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,,0,0,0,,
2026-04-24,2026-05-23,"New Leads Campaign paint - Copy",inactive,"7-day click or 1-day view",,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,,0,0,0,,
2026-04-24,2026-05-23,"New Leads Campaign Roofs",inactive,"7-day click or 1-day view",,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,,0,0,0,,
2026-04-24,2026-05-23,"‏‎New Leads Campaign Roofs‎‏ - 2",inactive,"7-day click or 1-day view",,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,,0,0,0,,
2026-04-24,2026-05-23,"New Leads Campaign impact windows",active,"7-day click or 1-day view",139,actions:leadgen.other,91121,1.53013,71.75884892,"Using ad set budget",0,9974.48,Ongoing,139427,71.539085,2791,,3.573802,2.001764,3558,2.551873,2.803395,3,3324.826667
2026-04-24,2026-05-23,"‏‎New Leads Campaign impact windows‎‏ - 2",inactive,"7-day click or 1-day view",,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,,0,0,0,,
2026-04-24,2026-05-23,"New Leads Campaign impact windows - V2",inactive,"7-day click or 1-day view",,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,,0,0,0,,
2026-04-24,2026-05-23,"New Leads Campaign Roofs 1 - V2",inactive,"7-day click or 1-day view",,,0,0,,100,Daily,0,Ongoing,0,0,,,,,0,0,0,,
2026-04-24,2026-05-23,"New Leads Campaign Roofs V2",inactive,"7-day click or 1-day view",,,0,0,,140,Daily,0,Ongoing,0,0,,,,,0,0,0,,
2026-04-24,2026-05-23,"New Leads Campaign Roofs V2",inactive,"7-day click or 1-day view",,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,,0,0,0,,
2026-04-24,2026-05-23,"New Leads Campaign Roofs V2",inactive,"7-day click or 1-day view",,,0,0,,150,Daily,0,Ongoing,0,0,,,,,0,0,0,,
2026-04-24,2026-05-23,"New Leads Campaign Roofs V2 - Copy",inactive,"7-day click or 1-day view",,,0,0,,150,Daily,0,Ongoing,0,0,,,,,0,0,0,,
2026-04-24,2026-05-23,"New Roofing Campaign",inactive,"7-day click or 1-day view",,,0,0,,150,Daily,0,Ongoing,0,0,,,,,0,0,0,,
2026-04-24,2026-05-23,"New Roofing Campaign - Copy",inactive,"7-day click or 1-day view",11,actions:leadgen.other,7565,1.614673,89.27545455,150,Daily,982.03,Ongoing,12215,80.395415,261,,3.762567,2.136717,336,2.750716,2.922708,,
