campaign_name,total_spend,total_results,avg_cost_per_result
New Leads Campaign kitchens - Copy 2,11062.6,177.0,62.5
New Leads Campaign impact windows,9974.48,139.0,71.76
New Roofing Campaign - Copy,982.03,11.0,89.28
‏‎New Leads Campaign impact windows‎‏ - 2,0.0,,
‏‎New Leads Campaign Roofs‎‏ - 2,0.0,,
New Roofing Campaign,0.0,,
New Leads Campaign paint - Copy,0.0,,
New Leads Campaign paint,0.0,,
New Leads Campaign impact windows - V2,0.0,,
New Leads Campaign Roofs V2 - Copy,0.0,,
New Leads Campaign Roofs V2,0.0,,
New Leads Campaign Roofs 1 - V2,0.0,,
New Leads Campaign Roofs 1,0.0,,
New Leads Campaign Roofs,0.0,,
New Leads Campaign Bathrooms,0.0,,
All Services Launch,0.0,,
